x_mm,y_mm,stroke_id
353.257,550.207,12
353.257,551.243,12
353.257,552.280,12
353.257,553.316,12
353.257,554.352,12
353.257,555.388,12
353.257,556.424,12
353.257,557.460,12
353.257,558.497,12
353.257,559.533,12
353.257,560.569,12
353.257,561.605,12
353.257,562.641,12
353.257,563.678,12
353.257,564.714,12
353.257,565.750,12
353.257,566.786,12
353.257,567.822,12
399.194,554.697,13
399.596,555.635,13
399.998,556.572,13
400.399,557.510,13
400.801,558.447,13
401.203,559.385,13
401.605,560.322,13
402.007,561.260,13
402.408,562.197,13
402.810,563.135,13
403.212,564.072,13
403.614,565.010,13
404.016,565.947,13
404.417,566.885,13
404.819,567.822,13
410.444,554.697,14
410.042,555.635,14
409.641,556.572,14
409.239,557.510,14
408.837,558.447,14
408.435,559.385,14
408.033,560.322,14
407.632,561.260,14
407.230,562.197,14
406.828,563.135,14
406.426,564.072,14
406.024,565.010,14
405.623,565.947,14
405.221,566.885,14
404.819,567.822,14
416.069,554.697,15
416.069,555.733,15
416.069,556.770,15
416.069,557.806,15
416.069,558.842,15
416.069,559.878,15
416.069,560.914,15
416.069,561.951,15
416.069,562.987,15
416.069,564.023,15
416.069,565.059,15
416.069,566.095,15
416.069,567.132,15
416.069,568.168,15
416.069,569.204,15
416.069,570.240,15
416.069,571.276,15
416.069,572.312,15
416.069,573.349,15
416.069,574.385,15
432.007,554.697,16
432.408,555.635,16
432.810,556.572,16
433.212,557.510,16
433.614,558.447,16
434.016,559.385,16
434.417,560.322,16
434.819,561.260,16
435.221,562.197,16
435.623,563.135,16
436.024,564.072,16
436.426,565.010,16
436.828,565.947,16
437.230,566.885,16
437.632,567.822,16
448.882,554.697,17
448.882,555.733,17
448.882,556.770,17
448.882,557.806,17
448.882,558.842,17
448.882,559.878,17
448.882,560.914,17
448.882,561.951,17
448.882,562.987,17
448.882,564.023,17
448.882,565.059,17
448.882,566.095,17
448.882,567.132,17
448.882,568.168,17
448.882,569.204,17
448.882,570.240,17
448.882,571.276,17
448.882,572.312,17
448.882,573.349,17
448.882,574.385,17
484.507,548.135,18
484.507,549.144,18
484.507,550.154,18
484.507,551.164,18
484.507,552.173,18
484.507,553.183,18
484.507,554.192,18
484.507,555.202,18
484.507,556.212,18
484.507,557.221,18
484.507,558.231,18
484.507,559.241,18
484.507,560.250,18
484.507,561.260,18
